Date : 2022-08-10 11:37:36
Directory : f:\pr\yobi-desktop\Single_User
Total : 206 files,  305003 codes, 2446 comments, 15668 blanks, all 323117 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| f:\pr\yobi-desktop\Single_User\Capture.svg                                        | XML      |          1 |          0 |          0 |          1 |
| f:\pr\yobi-desktop\Single_User\Invoice_1.html                                     | HTML     |        350 |         29 |         16 |        395 |
| f:\pr\yobi-desktop\Single_User\Invoice_5.html                                     | HTML     |        350 |         29 |         16 |        395 |
| f:\pr\yobi-desktop\Single_User\README.md                                          | Markdown |          4 |          0 |          1 |          5 |
| f:\pr\yobi-desktop\Single_User\UIC\Fixedexpenseedit.ui                            | XML      |        264 |          0 |          4 |        268 |
| f:\pr\yobi-desktop\Single_User\UIC\add_ledger.ui                                  | XML      |        598 |          0 |         40 |        638 |
| f:\pr\yobi-desktop\Single_User\UIC\addstock.ui                                    | XML      |        771 |          0 |          4 |        775 |
| f:\pr\yobi-desktop\Single_User\UIC\ash.ui                                         | XML      |        529 |          0 |          1 |        530 |
| f:\pr\yobi-desktop\Single_User\UIC\bills.ui                                       | XML      |        626 |          0 |         40 |        666 |
| f:\pr\yobi-desktop\Single_User\UIC\bizdetail.ui                                   | XML      |        183 |          0 |          3 |        186 |
| f:\pr\yobi-desktop\Single_User\UIC\campaign.ui                                    | XML      |        689 |          0 |         40 |        729 |
| f:\pr\yobi-desktop\Single_User\UIC\coa.ui                                         | XML      |        655 |          0 |         40 |        695 |
| f:\pr\yobi-desktop\Single_User\UIC\currentassetsedit.ui                           | XML      |        264 |          0 |          4 |        268 |
| f:\pr\yobi-desktop\Single_User\UIC\customer.ui                                    | XML      |      1,303 |          0 |         42 |      1,345 |
| f:\pr\yobi-desktop\Single_User\UIC\department.ui                                  | XML      |        659 |          0 |         40 |        699 |
| f:\pr\yobi-desktop\Single_User\UIC\employee.ui                                    | XML      |        726 |          0 |         40 |        766 |
| f:\pr\yobi-desktop\Single_User\UIC\fixedassetsedit.ui                             | XML      |        264 |          0 |          4 |        268 |
| f:\pr\yobi-desktop\Single_User\UIC\fixedexpenseadd.ui                             | XML      |        221 |          0 |          3 |        224 |
| f:\pr\yobi-desktop\Single_User\UIC\income_edit.ui                                 | XML      |        260 |          0 |          4 |        264 |
| f:\pr\yobi-desktop\Single_User\UIC\journalentry.ui                                | XML      |        629 |          0 |         40 |        669 |
| f:\pr\yobi-desktop\Single_User\UIC\leads.ui                                       | XML      |      1,035 |          0 |         39 |      1,074 |
| f:\pr\yobi-desktop\Single_User\UIC\login.ui                                       | XML      |        267 |          0 |          1 |        268 |
| f:\pr\yobi-desktop\Single_User\UIC\login_POS.ui                                   | XML      |        204 |          0 |          1 |        205 |
| f:\pr\yobi-desktop\Single_User\UIC\login_accounts.ui                              | XML      |        213 |          0 |          1 |        214 |
| f:\pr\yobi-desktop\Single_User\UIC\login_admin.ui                                 | XML      |        204 |          0 |          1 |        205 |
| f:\pr\yobi-desktop\Single_User\UIC\login_admin_internal.ui                        | XML      |        197 |          0 |          1 |        198 |
| f:\pr\yobi-desktop\Single_User\UIC\login_hr.ui                                    | XML      |        223 |          0 |          1 |        224 |
| f:\pr\yobi-desktop\Single_User\UIC\logout.ui                                      | XML      |        108 |          0 |          3 |        111 |
| f:\pr\yobi-desktop\Single_User\UIC\longtermliabilitiesedit.ui                     | XML      |        264 |          0 |          4 |        268 |
| f:\pr\yobi-desktop\Single_User\UIC\main.h                                         | C++      |      9,453 |         11 |      1,585 |     11,049 |
| f:\pr\yobi-desktop\Single_User\UIC\main.ui                                        | XML      |     23,103 |          0 |        161 |     23,264 |
| f:\pr\yobi-desktop\Single_User\UIC\pos.ui                                         | XML      |        193 |          0 |          1 |        194 |
| f:\pr\yobi-desktop\Single_User\UIC\position.ui                                    | XML      |        645 |          0 |         40 |        685 |
| f:\pr\yobi-desktop\Single_User\UIC\profile.ui                                     | XML      |        931 |          0 |         41 |        972 |
| f:\pr\yobi-desktop\Single_User\UIC\purchase_order.ui                              | XML      |        584 |          0 |         40 |        624 |
| f:\pr\yobi-desktop\Single_User\UIC\resources.qrc                                  | XML      |        268 |          0 |          1 |        269 |
| f:\pr\yobi-desktop\Single_User\UIC\sales_return.ui                                | XML      |        922 |          0 |         38 |        960 |
| f:\pr\yobi-desktop\Single_User\UIC\salesadd.ui                                    | XML      |        195 |          0 |          3 |        198 |
| f:\pr\yobi-desktop\Single_User\UIC\salesedit.ui                                   | XML      |        271 |          0 |          3 |        274 |
| f:\pr\yobi-desktop\Single_User\UIC\shorttermliabilitiesedit.ui                    | XML      |        264 |          0 |          4 |        268 |
| f:\pr\yobi-desktop\Single_User\UIC\splash.ui                                      | XML      |        193 |          0 |          7 |        200 |
| f:\pr\yobi-desktop\Single_User\UIC\stockturnover.ui                               | XML      |        525 |          0 |          3 |        528 |
| f:\pr\yobi-desktop\Single_User\UIC\taxedit.ui                                     | XML      |        220 |          0 |          1 |        221 |
| f:\pr\yobi-desktop\Single_User\UIC\taxsettingsui.ui                               | XML      |      1,883 |          0 |         50 |      1,933 |
| f:\pr\yobi-desktop\Single_User\UIC\ui_main.h                                      | C++      |      9,453 |         11 |      1,585 |     11,049 |
| f:\pr\yobi-desktop\Single_User\UIC\uom.ui                                         | XML      |        171 |          0 |          4 |        175 |
| f:\pr\yobi-desktop\Single_User\UIC\update.ui                                      | XML      |      1,502 |          0 |         41 |      1,543 |
| f:\pr\yobi-desktop\Single_User\UIC\user_managment.ui                              | XML      |        668 |          0 |         40 |        708 |
| f:\pr\yobi-desktop\Single_User\UIC\variableexpenseedit.ui                         | XML      |        264 |          0 |          4 |        268 |
| f:\pr\yobi-desktop\Single_User\UIC\varibleexp_explained.ui                        | XML      |         98 |          0 |          1 |         99 |
| f:\pr\yobi-desktop\Single_User\build\yobi\xref-yobi.html                          | HTML     |     38,746 |          0 |      6,292 |     45,038 |
| f:\pr\yobi-desktop\Single_User\circular_progress\__init__.py                      | Python   |          1 |         12 |          1 |         14 |
| f:\pr\yobi-desktop\Single_User\circular_progress\circular_progress.py             | Python   |         63 |         27 |         16 |        106 |
| f:\pr\yobi-desktop\Single_User\csss.py                                            | Python   |        127 |          6 |          9 |        142 |
| f:\pr\yobi-desktop\Single_User\currencies.py                                      | Python   |        171 |          0 |          1 |        172 |
| f:\pr\yobi-desktop\Single_User\data.html                                          | HTML     |        100 |          0 |          3 |        103 |
| f:\pr\yobi-desktop\Single_User\database.db                                        | SQL      |         65 |          0 |          0 |         65 |
| f:\pr\yobi-desktop\Single_User\images\icons\Capture.svg                           | XML      |          1 |          0 |          0 |          1 |
| f:\pr\yobi-desktop\Single_User\images\images\Capture1.svg                         | XML      |          3 |          0 |          1 |          4 |
| f:\pr\yobi-desktop\Single_User\images\images\yobi.svg                             | XML      |          1 |          0 |          0 |          1 |
| f:\pr\yobi-desktop\Single_User\invoice.py                                         | Python   |        400 |         60 |        111 |        571 |
| f:\pr\yobi-desktop\Single_User\logo_y.svg                                         | XML      |         60 |          0 |          1 |         61 |
| f:\pr\yobi-desktop\Single_User\main.py                                            | Python   |      6,540 |        504 |        555 |      7,599 |
| f:\pr\yobi-desktop\Single_User\manifest.xml                                       | XML      |         17 |          1 |          0 |         18 |
| f:\pr\yobi-desktop\Single_User\modules\Table_resizeing.py                         | Python   |        108 |          3 |         20 |        131 |
| f:\pr\yobi-desktop\Single_User\modules\TrippleEntry.md                            | Markdown |         26 |          0 |          2 |         28 |
| f:\pr\yobi-desktop\Single_User\modules\__init__.py                                | Python   |          7 |          4 |          6 |         17 |
| f:\pr\yobi-desktop\Single_User\modules\accounts.py                                | Python   |        521 |         90 |         84 |        695 |
| f:\pr\yobi-desktop\Single_User\modules\admin.py                                   | Python   |         16 |          0 |          5 |         21 |
| f:\pr\yobi-desktop\Single_User\modules\app_functions.py                           | Python   |          8 |         32 |          4 |         44 |
| f:\pr\yobi-desktop\Single_User\modules\app_settings.py                            | Python   |          9 |          7 |          2 |         18 |
| f:\pr\yobi-desktop\Single_User\modules\bills.py                                   | Python   |        333 |         20 |         36 |        389 |
| f:\pr\yobi-desktop\Single_User\modules\charts.py                                  | Python   |        309 |         24 |         63 |        396 |
| f:\pr\yobi-desktop\Single_User\modules\circular_progress.py                       | Python   |         63 |         27 |         16 |        106 |
| f:\pr\yobi-desktop\Single_User\modules\combo_search.py                            | Python   |         20 |          0 |         11 |         31 |
| f:\pr\yobi-desktop\Single_User\modules\contextmanager\contex_manager.py           | Python   |         13 |          4 |          1 |         18 |
| f:\pr\yobi-desktop\Single_User\modules\entrance.py                                | Python   |        207 |         16 |         30 |        253 |
| f:\pr\yobi-desktop\Single_User\modules\exceptions\exceptions.py                   | Python   |          0 |          0 |          1 |          1 |
| f:\pr\yobi-desktop\Single_User\modules\frontend\res.py                            | Python   |      8,504 |         35 |          8 |      8,547 |
| f:\pr\yobi-desktop\Single_User\modules\frontend\resources_rc.py                   | Python   |     39,062 |         49 |          8 |     39,119 |
| f:\pr\yobi-desktop\Single_User\modules\frontend\ui_Fixedexpenseedit.py            | Python   |        181 |         10 |         42 |        233 |
| f:\pr\yobi-desktop\Single_User\modules\frontend\ui_add_ledger.py                  | Python   |        610 |         10 |         24 |        644 |
| f:\pr\yobi-desktop\Single_User\modules\frontend\ui_addstock.py                    | Python   |        275 |         24 |         66 |        365 |
| f:\pr\yobi-desktop\Single_User\modules\frontend\ui_ash.py                         | Python   |        159 |         10 |         30 |        199 |
| f:\pr\yobi-desktop\Single_User\modules\frontend\ui_bills.py                       | Python   |        627 |         10 |         36 |        673 |
| f:\pr\yobi-desktop\Single_User\modules\frontend\ui_bizdetail.py                   | Python   |        108 |         10 |         31 |        149 |
| f:\pr\yobi-desktop\Single_User\modules\frontend\ui_campaign.py                    | Python   |        674 |         12 |         58 |        744 |
| f:\pr\yobi-desktop\Single_User\modules\frontend\ui_coa.py                         | Python   |        637 |         10 |         38 |        685 |
| f:\pr\yobi-desktop\Single_User\modules\frontend\ui_currentassetsedit.py           | Python   |        181 |         10 |         42 |        233 |
| f:\pr\yobi-desktop\Single_User\modules\frontend\ui_department.py                  | Python   |        644 |         10 |         44 |        698 |
| f:\pr\yobi-desktop\Single_User\modules\frontend\ui_employee.py                    | Python   |        678 |         10 |         60 |        748 |
| f:\pr\yobi-desktop\Single_User\modules\frontend\ui_fixedassetsedit.py             | Python   |        181 |         10 |         42 |        233 |
| f:\pr\yobi-desktop\Single_User\modules\frontend\ui_fixedexpenseadd.py             | Python   |        101 |         10 |          9 |        120 |
| f:\pr\yobi-desktop\Single_User\modules\frontend\ui_income_edit.py                 | Python   |        183 |         10 |         44 |        237 |
| f:\pr\yobi-desktop\Single_User\modules\frontend\ui_journalentry.py                | Python   |        630 |         10 |         32 |        672 |
| f:\pr\yobi-desktop\Single_User\modules\frontend\ui_login.py                       | Python   |        125 |         10 |         26 |        161 |
| f:\pr\yobi-desktop\Single_User\modules\frontend\ui_login_accounts.py              | Python   |         99 |         10 |         18 |        127 |
| f:\pr\yobi-desktop\Single_User\modules\frontend\ui_login_admin.py                 | Python   |         95 |         10 |         19 |        124 |
| f:\pr\yobi-desktop\Single_User\modules\frontend\ui_login_admin_internal.py        | Python   |         98 |         10 |         20 |        128 |
| f:\pr\yobi-desktop\Single_User\modules\frontend\ui_login_crm.py                   | Python   |         95 |         10 |         19 |        124 |
| f:\pr\yobi-desktop\Single_User\modules\frontend\ui_login_hr.py                    | Python   |        102 |         10 |         20 |        132 |
| f:\pr\yobi-desktop\Single_User\modules\frontend\ui_logout.py                      | Python   |         64 |         10 |         18 |         92 |
| f:\pr\yobi-desktop\Single_User\modules\frontend\ui_longtermliabilitiesedit.py     | Python   |        181 |         10 |         42 |        233 |
| f:\pr\yobi-desktop\Single_User\modules\frontend\ui_main.py                        | Python   |      9,943 |        180 |      2,160 |     12,283 |
| f:\pr\yobi-desktop\Single_User\modules\frontend\ui_payment.py                     | Python   |        206 |         10 |         32 |        248 |
| f:\pr\yobi-desktop\Single_User\modules\frontend\ui_pos.py                         | Python   |         95 |         10 |         18 |        123 |
| f:\pr\yobi-desktop\Single_User\modules\frontend\ui_position.py                    | Python   |        636 |         10 |         40 |        686 |
| f:\pr\yobi-desktop\Single_User\modules\frontend\ui_profile.py                     | Python   |        702 |         16 |         46 |        764 |
| f:\pr\yobi-desktop\Single_User\modules\frontend\ui_purchase_order.py              | Python   |        604 |         10 |         20 |        634 |
| f:\pr\yobi-desktop\Single_User\modules\frontend\ui_sales_return.py                | Python   |        694 |         16 |         48 |        758 |
| f:\pr\yobi-desktop\Single_User\modules\frontend\ui_salesadd.py                    | Python   |         93 |         10 |          9 |        112 |
| f:\pr\yobi-desktop\Single_User\modules\frontend\ui_salesedit.py                   | Python   |        127 |         10 |         43 |        180 |
| f:\pr\yobi-desktop\Single_User\modules\frontend\ui_shorttermliabilitiesadd.py     | Python   |         53 |         10 |          9 |         72 |
| f:\pr\yobi-desktop\Single_User\modules\frontend\ui_shorttermliabilitiesedit.py    | Python   |        181 |         10 |         42 |        233 |
| f:\pr\yobi-desktop\Single_User\modules\frontend\ui_splash.py                      | Python   |         90 |         10 |         11 |        111 |
| f:\pr\yobi-desktop\Single_User\modules\frontend\ui_taxsettingsui.py               | Python   |        930 |         34 |         48 |      1,012 |
| f:\pr\yobi-desktop\Single_User\modules\frontend\ui_uom.py                         | Python   |        128 |         10 |         26 |        164 |
| f:\pr\yobi-desktop\Single_User\modules\frontend\ui_update.py                      | Python   |        828 |         30 |         80 |        938 |
| f:\pr\yobi-desktop\Single_User\modules\frontend\ui_user_managment.py              | Python   |        646 |         10 |         44 |        700 |
| f:\pr\yobi-desktop\Single_User\modules\frontend\ui_variableexpenseadd.py          | Python   |        101 |         10 |          9 |        120 |
| f:\pr\yobi-desktop\Single_User\modules\frontend\ui_variableexpenseedit.py         | Python   |        181 |         10 |         42 |        233 |
| f:\pr\yobi-desktop\Single_User\modules\hrms.py                                    | Python   |         30 |          0 |          6 |         36 |
| f:\pr\yobi-desktop\Single_User\modules\imageconversion.py                         | Python   |         68 |          1 |         16 |         85 |
| f:\pr\yobi-desktop\Single_User\modules\ledger_btns.py                             | Python   |         46 |          8 |          7 |         61 |
| f:\pr\yobi-desktop\Single_User\modules\orders_function.py                         | Python   |        482 |          7 |         71 |        560 |
| f:\pr\yobi-desktop\Single_User\modules\payment.py                                 | Python   |        952 |          5 |         70 |      1,027 |
| f:\pr\yobi-desktop\Single_User\modules\pos.py                                     | Python   |         22 |          0 |          1 |         23 |
| f:\pr\yobi-desktop\Single_User\modules\purchase_order.py                          | Python   |         46 |         26 |          6 |         78 |
| f:\pr\yobi-desktop\Single_User\modules\refresh.py                                 | Python   |         76 |         10 |         12 |         98 |
| f:\pr\yobi-desktop\Single_User\modules\refresh_dashboard.py                       | Python   |         24 |          3 |          5 |         32 |
| f:\pr\yobi-desktop\Single_User\modules\retry\retrysync.py                         | Python   |         27 |         18 |          7 |         52 |
| f:\pr\yobi-desktop\Single_User\modules\search_table.py                            | Python   |         36 |          0 |          5 |         41 |
| f:\pr\yobi-desktop\Single_User\modules\st_database.py                             | Python   |         56 |          1 |          5 |         62 |
| f:\pr\yobi-desktop\Single_User\modules\tableclass.py                              | Python   |         94 |         11 |          8 |        113 |
| f:\pr\yobi-desktop\Single_User\modules\tests.py                                   | Python   |        161 |          6 |         18 |        185 |
| f:\pr\yobi-desktop\Single_User\modules\top_user_box.py                            | Python   |        179 |        139 |         44 |        362 |
| f:\pr\yobi-desktop\Single_User\modules\ui_functions.py                            | Python   |        176 |         72 |         39 |        287 |
| f:\pr\yobi-desktop\Single_User\modules\uom.py                                     | Python   |         16 |          0 |          3 |         19 |
| f:\pr\yobi-desktop\Single_User\modules\update_pages.py                            | Python   |         29 |         23 |          3 |         55 |
| f:\pr\yobi-desktop\Single_User\py_dracula_dark.qss                                | QSS      |        423 |         43 |         35 |        501 |
| f:\pr\yobi-desktop\Single_User\pycss.py                                           | Python   |        129 |          6 |          9 |        144 |
| f:\pr\yobi-desktop\Single_User\res.py                                             | Python   |      8,504 |         35 |          8 |      8,547 |
| f:\pr\yobi-desktop\Single_User\res.qrc                                            | XML      |         12 |          0 |          1 |         13 |
| f:\pr\yobi-desktop\Single_User\resources.py                                       | Python   |     39,062 |         49 |          8 |     39,119 |
| f:\pr\yobi-desktop\Single_User\resources.qrc                                      | XML      |        269 |          0 |          1 |        270 |
| f:\pr\yobi-desktop\Single_User\scripts_tests.py                                   | Python   |          4 |         11 |          1 |         16 |
| f:\pr\yobi-desktop\Single_User\themes\py_dracula_dark.qss                         | QSS      |        423 |         43 |         35 |        501 |
| f:\pr\yobi-desktop\Single_User\themes\py_dracula_light.qss                        | QSS      |        443 |         43 |         36 |        522 |
| f:\pr\yobi-desktop\Single_User\ui_currentassetsedit.py                            | Python   |        156 |         10 |         30 |        196 |
| f:\pr\yobi-desktop\Single_User\widgets\__init__.py                                | Python   |          1 |         15 |          2 |         18 |
| f:\pr\yobi-desktop\Single_User\widgets\custom_grips\__init__.py                   | Python   |          1 |         15 |          2 |         18 |
| f:\pr\yobi-desktop\Single_User\widgets\custom_grips\custom_grips.py               | Python   |        182 |         14 |         27 |        223 |
| f:\pr\yobi-desktop\Single_User\yobi.svg                                           | XML      |          1 |          0 |          0 |          1 |
| Total                                                                             |          |    305,003 |      2,446 |     15,668 |    323,117 |
